case,kind,size,MQ,EQ
3state1ap1acc_06455369031,periodic,9,43,3
3state1ap1acc_06461882422,periodic,17,124,6
3state1ap1acc_06461882422_c,periodic,16,116,6
3state1ap1acc_06510251562,periodic,20,141,8
3state1ap1acc_06510251562_c,periodic,12,91,5
3state1ap1acc_06712019249,periodic,23,238,14
3state1ap1acc_06712019249_c,periodic,22,229,12
3state1ap1acc_07525166242,periodic,16,121,8
3state1ap1acc_07587761943,periodic,12,76,5
3state1ap1acc_07986021488,periodic,15,133,8
3state1ap1acc_07986021488_c,periodic,17,151,9
3state1ap1acc_08072646820,periodic,12,54,3
3state1ap1acc_08633407112,periodic,11,67,4
3state1ap1acc_08673512532,periodic,12,84,6
3state1ap1acc_08692256992,periodic,15,79,4
3state1ap1acc_08763069152,periodic,22,187,9
3state1ap1acc_08763069152_c,periodic,22,219,11
3state1ap1acc_08809679048,periodic,12,66,4
3state1ap1acc_08843952581,periodic,12,67,4
3state1ap1acc_08843952581_c,periodic,10,76,5
3state1ap1acc_09215799313,periodic,15,90,5
3state1ap1acc_09215799313_c,periodic,13,76,4
3state1ap1acc_09254850569,periodic,12,66,4
3state1ap1acc_09254850569_c,periodic,10,72,5
3state1ap1acc_09288548440,periodic,14,95,5
3state1ap1acc_09288548440_c,periodic,21,165,10
3state1ap1acc_09504426728,periodic,23,295,14
3state1ap1acc_09504426728_c,periodic,16,131,8
3state1ap1acc_09832059538,periodic,12,66,4
3state1ap1acc_10084024801,periodic,12,66,4
3state1ap1acc_10084024801_c,periodic,10,72,5
3state1ap1acc_10184310956,periodic,7,35,3
3state1ap1acc_10375004459,periodic,12,66,4
3state1ap1acc_10818159298,periodic,17,139,9
3state1ap1acc_10818159298_c,periodic,16,163,10
3state1ap1acc_10821896874,periodic,17,93,4
3state1ap1acc_10821896874_c,periodic,17,100,5
3state1ap1acc_10951611776,periodic,18,155,10
3state1ap1acc_10951611776_c,periodic,12,117,7
3state1ap1acc_11157145634,periodic,15,91,5
1state3ap1acc_05736,periodic,5,56,2
1state3ap1acc_05736_c,periodic,7,107,3
1state3ap1acc_05737,periodic,5,63,2
1state3ap1acc_05737_c,periodic,7,107,3
3state1ap1acc_11157145634_c,periodic,23,186,10
3state1ap1acc_11437608962,periodic,13,89,6
3state1ap1acc_11437608962_c,periodic,13,78,5
3state1ap1acc_11470250181,periodic,12,67,4
3state1ap1acc_11475928280,periodic,15,94,5
3state1ap1acc_11475928280_c,periodic,13,102,6
3state1ap1acc_11489888264,periodic,12,76,5
3state1ap1acc_11678302412,periodic,15,81,4
3state1ap1acc_11678302412_c,periodic,15,102,6
3state1ap1acc_11853170362,periodic,11,67,5
3state1ap1acc_11853170362_c,periodic,9,69,5
3state1ap1acc_12164072120,periodic,9,43,3
3state1ap1acc_12164072120_c,periodic,8,51,4
3state1ap1acc_12566156481,periodic,20,178,10
3state1ap1acc_12566156481_c,periodic,15,100,6
3state1ap1acc_17217970752,periodic,15,104,5
3state1ap1acc_17217970752_c,periodic,12,109,6
3state1ap1acc_17251696968,periodic,27,254,11
3state1ap1acc_17251696968_c,periodic,50,585,21
3state1ap1acc_17316852264,periodic,16,106,6
3state1ap1acc_17316852264_c,periodic,23,180,10
3state1ap1acc_17325470882,periodic,11,67,5
3state1ap1acc_17347491968,periodic,15,90,5
3state1ap1acc_17347491968_c,periodic,15,90,5
3state1ap1acc_17348330017,periodic,15,98,5
3state1ap1acc_17348330017_c,periodic,13,105,6
3state1ap1acc_17356070952,periodic,19,143,8
3state1ap1acc_17356070952_c,periodic,29,258,13
3state1ap1acc_17610296576,periodic,9,42,3
3state1ap1acc_17660157992,periodic,16,101,6
3state1ap1acc_17660157992_c,periodic,16,92,5
3state1ap1acc_17725677905,periodic,15,91,5
3state1ap1acc_17725677905_c,periodic,15,90,5
3state1ap1acc_17767184896,periodic,12,66,4
3state1ap1acc_17767184896_c,periodic,12,90,6
3state1ap1acc_17926488192,periodic,28,292,13
3state1ap1acc_17926488192_c,periodic,33,313,12
3state1ap1acc_18254146625,periodic,9,61,4
3state1ap1acc_18254146625_c,periodic,17,111,7
3state1ap1acc_18255005972,periodic,14,106,7
1state3ap1acc_05760,periodic,5,42,2
1state3ap1acc_05760_c,periodic,7,107,3
1state3ap1acc_05761,periodic,5,49,2
1state3ap1acc_05761_c,periodic,7,107,3
3state1ap1acc_18255005972_c,periodic,29,469,21
3state1ap1acc_18257616771,periodic,11,65,4
3state1ap1acc_18268719651,periodic,10,63,4
3state1ap1acc_18389167266,periodic,15,95,6
3state1ap1acc_18389167266_c,periodic,13,106,6
3state1ap1acc_18420848649,periodic,12,67,4
3state1ap1acc_18420848649_c,periodic,13,90,6
3state1ap1acc_18465629186,periodic,11,67,5
3state1ap1acc_18532805825,periodic,15,106,6
3state1ap1acc_18532805825_c,periodic,14,103,6
3state1ap1acc_18673175256,periodic,16,103,6
3state1ap1acc_18673175256_c,periodic,16,93,5
3state1ap1acc_18727537921,periodic,12,66,4
3state1ap1acc_18792073218,periodic,15,79,4
3state1ap1acc_18792073218_c,periodic,16,112,7
3state1ap1acc_18967311018,periodic,14,94,5
3state1ap1acc_18967311018_c,periodic,21,167,9
3state1ap1acc_19327911246,periodic,13,77,5
3state1ap1acc_19327911246_c,periodic,14,91,6
3state1ap1acc_19337320362,periodic,12,64,4
3state1ap1acc_19337320362_c,periodic,17,99,6
3state1ap1acc_19338404765,periodic,13,77,5
3state1ap1acc_19341062696,periodic,19,176,11
3state1ap1acc_19370344645,periodic,12,67,4
3state1ap1acc_19370344645_c,periodic,11,78,5
3state1ap1acc_19407377872,periodic,25,245,12
3state1ap1acc_19407377872_c,periodic,18,136,8
3state1ap1acc_19616788757,periodic,27,260,10
3state1ap1acc_19616788757_c,periodic,21,137,7
3state1ap1acc_19663242261,periodic,16,140,9
3state1ap1acc_19663242261_c,periodic,23,271,15
3state1ap1acc_19668730178,periodic,12,53,3
3state1ap1acc_19668730178_c,periodic,11,61,4
3state1ap1acc_19864508584,periodic,13,91,6
3state1ap1acc_19864508584_c,periodic,18,116,7
3state1ap1acc_19869226918,periodic,7,39,3
3state1ap1acc_19869226918_c,periodic,14,87,6
3state1ap1acc_19879280012,periodic,12,67,4
3state1ap1acc_20091877380,periodic,12,66,4
3state1ap1acc_20401758904,periodic,22,185,9
1state3ap1acc_05768,periodic,5,49,2
1state3ap1acc_05768_c,periodic,7,107,3
1state3ap1acc_05769,periodic,5,56,2
1state3ap1acc_05769_c,periodic,7,107,3
3state1ap1acc_20401758904_c,periodic,29,298,12
3state1ap1acc_20552143008,periodic,25,222,11
3state1ap1acc_20552143008_c,periodic,21,161,8
3state1ap1acc_20602585714,periodic,19,158,9
3state1ap1acc_20602585714_c,periodic,20,151,9
3state1ap1acc_20652814504,periodic,17,145,8
3state1ap1acc_20652814504_c,periodic,15,105,7
3state1ap1acc_20944955967,periodic,12,66,4
3state1ap1acc_20944955967_c,periodic,13,88,6
3state1ap1acc_21082833921,periodic,17,104,6
3state1ap1acc_21082833921_c,periodic,14,87,5
3state1ap1acc_21174945986,periodic,20,143,8
3state1ap1acc_21174945986_c,periodic,22,178,10
3state1ap1acc_21242053141,periodic,12,66,4
3state1ap1acc_21242053141_c,periodic,12,90,6
3state1ap1acc_21408257092,periodic,20,185,9
3state1ap1acc_21408257092_c,periodic,31,286,13
3state1ap1acc_21510284353,periodic,11,65,4
3state1ap1acc_21510284353_c,periodic,14,91,6
3state1ap1acc_21592814912,periodic,17,110,5
3state1ap1acc_21592814912_c,periodic,24,182,9
3state1ap1acc_21642354752,periodic,14,96,5
3state1ap1acc_21642354752_c,periodic,17,118,7
3state1ap1acc_21877768580,periodic,18,207,11
3state1ap1acc_21877768580_c,periodic,21,251,13
3state1ap1acc_21883242760,periodic,12,68,4
3state1ap1acc_21883242760_c,periodic,13,91,6
3state1ap1acc_21891294336,periodic,14,78,5
3state1ap1acc_21891294336_c,periodic,11,78,5
3state1ap1acc_21895069968,periodic,18,109,5
3state1ap1acc_21895069968_c,periodic,28,281,15
3state1ap1acc_21902725346,periodic,16,126,8
3state1ap1acc_22079178886,periodic,12,66,4
3state1ap1acc_22079178886_c,periodic,10,76,5
3state1ap1acc_22281070770,periodic,15,79,4
3state1ap1acc_22281070770_c,periodic,13,85,5
3state1ap1acc_22364973222,periodic,12,53,3
3state1ap1acc_22628341444,periodic,18,166,10
3state1ap1acc_22628341444_c,periodic,23,292,14
3state1ap1acc_22687934472,periodic,16,111,6
1state3ap1acc_05800,periodic,5,56,2
1state3ap1acc_05800_c,periodic,7,107,3
1state3ap1acc_05801,periodic,5,63,2
1state3ap1acc_05801_c,periodic,7,107,3
3state1ap1acc_22687934472_c,periodic,14,77,4
3state1ap1acc_22767130625,periodic,9,42,3
3state1ap1acc_22974391297,periodic,15,144,8
3state1ap1acc_22974391297_c,periodic,21,250,13
3state1ap1acc_23056107610,periodic,20,149,8
3state1ap1acc_23056107610_c,periodic,23,202,10
3state1ap1acc_23689824842,periodic,9,42,3
3state1ap1acc_23974744129,periodic,17,168,10
3state1ap1acc_23974744129_c,periodic,17,147,9
3state1ap1acc_24117428357,periodic,14,78,5
3state1ap1acc_24160168166,periodic,12,54,3
3state1ap1acc_24160168166_c,periodic,11,62,4
3state1ap1acc_25170543041,periodic,6,58,4
3state1ap1acc_25170543041_c,periodic,7,68,4
3state1ap1acc_25267159780,periodic,12,68,4
3state1ap1acc_25267159780_c,periodic,10,76,5
3state1ap1acc_25502699548,periodic,26,204,10
3state1ap1acc_25502699548_c,periodic,31,319,16
3state1ap1acc_25917628326,periodic,9,43,3
3state1ap1acc_26315230727,periodic,9,43,3
3state1ap1acc_34436025552,periodic,5,37,3
3state1ap1acc_34436025552_c,periodic,7,49,3
3state1ap1acc_34454789696,periodic,9,43,3
3state1ap1acc_34454789696_c,periodic,9,53,4
3state1ap1acc_34481406088,periodic,26,325,13
3state1ap1acc_34481406088_c,periodic,39,460,17
3state1ap1acc_34496190112,periodic,13,90,6
3state1ap1acc_34496190112_c,periodic,21,249,13
3state1ap1acc_34561179665,periodic,19,149,8
3state1ap1acc_34561179665_c,periodic,16,94,5
3state1ap1acc_34564680784,periodic,13,78,5
3state1ap1acc_34601746562,periodic,23,235,13
3state1ap1acc_34601746562_c,periodic,20,166,9
3state1ap1acc_34972664996,periodic,22,159,7
3state1ap1acc_34972664996_c,periodic,38,356,17
3state1ap1acc_35444140389,periodic,11,62,4
3state1ap1acc_35719401600,periodic,10,50,3
3state1ap1acc_35719401600_c,periodic,14,78,5
